seed,threshold,output_class_index,hcat_code,class_name,emitted_count,errors,empirical_risk,risk_upper,coverage_contribution,coverage_contribution_lower,risk_certified
2,0.95,12,3301090301,alfalfa,0,0,,1.0,0.0,0.0,False
2,0.95,13,3301090303,clover,75,3,0.04,0.17931345233122448,0.007196315486470927,0.00469613825560955,False
2,0.95,14,3301110000,fallow land,0,0,,1.0,0.0,0.0,False
2,0.95,15,3301150200,buckwheat,16,0,0.0,0.3961513129426748,0.001535213970447131,0.0005501015406147447,False
2,0.975,0,3301010101,winter common soft wheat,1106,19,0.017179023508137433,0.03488904109682739,0.10612166570715793,0.0960641957014785,True
2,0.975,1,3301010102,spring common soft wheat,0,0,,1.0,0.0,0.0,False
2,0.975,2,3301010300,rye,7,0,0.0,0.6843074822205404,0.0006716561120706199,0.0001194789822512865,False
2,0.975,3,3301010401,winter barley,172,7,0.040697674418604654,0.11898248344152959,0.016503550182306658,0.012562222201943696,False
2,0.975,4,3301010402,spring barley,52,1,0.019230769230769232,0.184707777263167,0.004989445403953176,0.0029607196880367948,False
2,0.975,5,3301010500,oats,0,0,,1.0,0.0,0.0,False
2,0.975,6,3301010600,grain maize,29,0,0.0,0.2429357135611514,0.002782575321435425,0.0013481594843914868,False
2,0.975,7,3301020100,beans,0,0,,1.0,0.0,0.0,False
2,0.975,8,3301020600,peas,52,1,0.019230769230769232,0.184707777263167,0.004989445403953176,0.0029607196880367948,False
2,0.975,9,3301030000,potatoes,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
2,0.975,10,3301060401,winter rapeseed,818,6,0.007334963325183374,0.023902331368751265,0.07848781423910958,0.06975976230340386,True
2,0.975,11,3301070000,fresh vegetables,0,0,,1.0,0.0,0.0,False
2,0.975,12,3301090301,alfalfa,0,0,,1.0,0.0,0.0,False
2,0.975,13,3301090303,clover,21,2,0.09523809523809523,0.4686733339776842,0.0020149683362118594,0.0008412432582203255,False
2,0.975,14,3301110000,fallow land,0,0,,1.0,0.0,0.0,False
2,0.975,15,3301150200,buckwheat,9,0,0.0,0.592113913451976,0.0008635578583765112,0.0001994156649716139,False
